dir path;filename;child age;# participants;partipant type;# adults;eng;nlines_Raw;name;Nlines;years;months;days
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;21025;"2;10.25";4;"Mother;Camera_Operator;Grandmother;Toy;";3;eng;988;_Providence_Alex_021025-ortholines.txt;900;2;10;25
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;21108;"2;11.08";3;"Mother;Camera_Operator;Environment;";2;eng;867;_Providence_Alex_021108-ortholines.txt;800;2;11;08
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;21122;"2;11.22";3;"Mother;Grandmother;Camera_Operator;";3;eng;768;_Providence_Alex_021122-ortholines.txt;700;2;11;22
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;30006;"3;00.06";2;"Mother;Camera_Operator;";2;eng;761;_Providence_Alex_030006-ortholines.txt;700;3;00;06
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;30103;"3;01.03";3;"Mother;Camera_Operator;Environment;";2;eng;679;_Providence_Alex_030103-ortholines.txt;600;3;01;03
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;30119;"3;01.19";3;"Mother;Grandmother;Camera_Operator;";3;eng;734;_Providence_Alex_030119-ortholines.txt;700;3;01;19
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;30200;"3;02.";4;"Mother;Camera_Operator;Adult;Grandmother;";4;eng;801;_Providence_Alex_030200-ortholines.txt;800;3;02;
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;30214;"3;02.14";5;"Mother;Toy;Grandmother;Adult;Camera_Operator;";4;eng;893;_Providence_Alex_030214-ortholines.txt;800;3;02;14
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;30301;"3;03.01";4;"Mother;Father;Adult;Camera_Operator;";4;eng;757;_Providence_Alex_030301-ortholines.txt;700;3;03;01
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;30313;"3;03.13";5;"Mother;Grandmother;Toy;Adult;Camera_Operator;";4;eng;583;_Providence_Alex_030313-ortholines.txt;500;3;03;13
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;30327;"3;03.27";1;"Mother;";1;eng;727;_Providence_Alex_030327-ortholines.txt;700;3;03;27
